Data collection started on {01/23/2018 15:27:39.346}
[Time] 	 [G1.X] 	 [G1.Y] 	 [G1.Z] 	 [G2.X] 	 [G2.Y] 	 [G2.Z] 	 [G3.X] 	 [G3.Y] 	 [G3.Z] 	 [G4.X] 	 [G4.Y] 	 [G4.Z] 	 [A1.X] 	 [A1.Y] 	 [A1.Z] 	 [A2.X] 	 [A2.Y] 	 [A2.Z] 	 [A3.X] 	 [A3.Y] 	 [A3.Z] 	 [A4.X] 	 [A4.Y] 	 [A4.Z] 	 [M1.X] 	 [M1.Y] 	 [M1.Z] 	 [M2.X] 	 [M2.Y] 	 [M2.Z] 	 [M3.X] 	 [M3.Y] 	 [M3.Z] 	 [M4.X] 	 [M4.Y] 	 [M4.Z] 	 [EMG1] 	 [EMG2] 	 [PULSE A] 	 [PULSE B]
0.2000000000	5.4703593500	61.6998550393	2.1286335546	12.4437323568	11.8638895247	5.2414740215	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.8861829557	0.0687876707	-0.7805905241	-0.2477454795	-0.1537499046	-0.9722438392	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0014343481	-0.0926222629	-0.2291599908	0.2154879072	-0.1490196078	-0.0024719615	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8992141604	2.8735790036	0.8250125887	2.4750377661	
0.2200000000	7.8202487221	41.9851987488	22.0111390860	14.1069657435	15.2208743420	1.1825741970	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.7819333181	0.0209353780	-0.6891584649	-0.2077058061	-0.1823147936	-1.0063019760	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0005188067	-0.0929274434	-0.2281834134	0.2168307012	-0.1501182574	0.0017395285	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8650339513	2.8503852903	0.8250125887	2.4750377661	
0.2400000000	11.4671549554	12.5810635538	33.3333333333	5.2567330434	16.6247043565	0.2670328832	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.6922102693	-0.0148317693	-0.6144502937	-0.2025787747	-0.1748683909	-0.9292744335	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0005798428	-0.0938429847	-0.2274509804	0.2173189899	-0.1492637522	-0.0195010300	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9028763256	2.8540474556	0.8250125887	2.4750377661	
0.2600000000	3.8681620508	-9.2698558022	26.1158159762	-18.7304493782	10.1091020066	-1.2130922408	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.6363012131	-0.0341191730	-0.5026321813	-0.2283360037	-0.1016250858	-0.8306401160	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0005798428	-0.0945143816	-0.2268406195	0.2184176394	-0.1534142061	0.0105287251	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8674753948	2.8442816815	0.8250125887	2.4750377661	
0.2800000000	-9.7886625467	-26.7719539178	9.5597772183	-17.9980163272	1.8997482261	0.6942854963	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.6277561608	-0.0681773098	-0.4171816587	-0.2798504616	-0.0222781720	-0.7541008621	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0005188067	-0.0937819486	-0.2272678721	0.2189669642	-0.1499961852	0.0013122759	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8857862211	2.8894483864	0.8250125887	2.4750377661	
0.3000000000	-14.3358510719	-46.1356527047	-5.5161364157	-15.0530251011	-7.1030746929	2.9373617151	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.6444800488	-0.0056763561	-0.3208667124	-0.3079270619	0.0025024796	-0.7453116655	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0028381781	-0.0943312734	-0.2276340887	0.2174410620	-0.1461509117	0.0002746624	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8845654994	2.8491645686	0.8250125887	2.4750377661	
0.3200000000	-12.9472800793	-57.9003585870	-14.7783627070	-11.0093842985	-13.5576409552	4.2038605325	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.6958724346	0.0477912566	-0.3545586328	-0.3275806821	0.0034790570	-0.8120851453	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0049134051	-0.0937819486	-0.2295872435	0.2162813764	-0.1459067674	0.0057679103	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8528267338	2.8369573510	0.8250125887	2.4750377661	
0.3400000000	-7.3929961089	-53.3073929961	-20.2105745022	-4.8599984741	-14.5647364004	0.6637674525	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.7973144121	0.1239642939	-0.4827344167	-0.3430838483	0.0294804303	-0.8910658427	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0065613794	-0.0919508659	-0.2291599908	0.2136568246	-0.1454184787	-0.0153505760	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9077592126	2.8674753948	0.8250125887	2.4750377661	
0.3600000000	-3.9291981384	-18.8982986191	-21.9501029984	5.8823529412	-10.2311741817	-2.9831387808	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.9109636072	0.1282368200	-0.6676737621	-0.3583428702	0.0584115358	-0.8950942245	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0102235447	-0.0913405051	-0.2292210269	0.2169527733	-0.1462729839	-0.0044251164	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8491645686	2.8638132296	0.8250125887	2.4750377661	
0.3800000000	4.4174868391	11.8028534371	-20.4547188525	15.0377660792	-4.9362935836	-0.0228885328	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.9907988098	0.2037994965	-0.7730220493	-0.3721370260	0.0156862745	-0.9367208362	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0100404364	-0.0915236133	-0.2273899443	0.2165255207	-0.1438925765	-0.0061341268	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8625925078	2.8821240558	0.8250125887	2.4750377661	
